player_id,team,opp,pos,name,fpts,proj_own,ceil,floor,min_exposure,max_exposure
328944,ARI,WAS,WR,Trent Sherfield,1.15,0.1,2.3,0.02,0,100
982541,ATL,DAL,RB,Qadree Ollison,0.01,,0.02,0,0,100
13589,SEA,NEP,WR,Josh Gordon,0,,,,0,100
18088,PIT,DEN,TE,Eric Ebron,9.07,0.7,15.96,1.45,0,100
328764,CAR,TBB,WR,Keith Kirkwood,0,,,,0,100
1849725,LAC,KCC,QB,Justin Herbert,0,,,,0,100
16583,PHI,LAR,TE,Zach Ertz,13.53,6.9,18.67,2.98,0,100
1849838,SEA,NEP,WR,Freddie Swain,0.21,,0.42,0,0,100
1844157,CLE,CIN,WR,Donovan Peoples-Jones,0,,,,0,100
982173,MIN,IND,RB,Alexander Mattison,7.23,0.1,14.03,2.24,0,100
18281,HOU,BAL,WR,Brandin Cooks,9.35,2.5,15.15,1.12,0,100
36957,DAL,ATL,WR,Noah Brown,0.13,0.1,0.27,0.01,0,100
1844837,DEN,PIT,TE,Albert Okwuegbunam,0,,,,0,100
35616,KCC,LAC,WR,Tyreek Hill,17.03,4.9,30.99,2.55,0,100
35576,CLE,CIN,TE,Austin Hooper,9.07,,17.14,1,0,100
982633,GBP,DET,WR,Malik Taylor,0.17,0.1,0.34,0,0,100
11616,ATL,DAL,QB,Matt Schaub,0,,,,0,100
35624,DET,GBP,WR,Marvin Hall,2.53,0.1,5.19,0.18,0,100
18108,PHI,LAR,TE,Richard Rodgers,0,,,,0,100
12162,ARI,WAS,WR,Larry Fitzgerald,9.47,0.8,16.57,2.18,0,100
12207,PHI,LAR,WR,DeSean Jackson,11.84,4.6,21.31,1.07,0,100
36865,DET,GBP,WR,Kenny Golladay,0,,,,0,100
37421,CAR,TBB,RB,Alex Armah,1.14,0.1,2.09,0.09,0,100
329038,SEA,NEP,RB,Rashaad Penny,0,,,,0,100
11610,NYJ,SFO,QB,Joe Flacco,0,,,,0,100
16569,LAC,KCC,WR,Keenan Allen,13.87,7.2,23.3,3.33,0,100
36847,PIT,DEN,QB,Josh Dobbs,0,,,,0,100
11792,GBP,DET,TE,Marcedes Lewis,1.25,0.1,2.56,0.09,0,100
13602,DAL,ATL,K,Greg Zuerlein,8.87,,12.42,4.26,0,100
